"_defaultColorIndex","dimensionality (d-D)","id","log-likelihood","name"
"7","-23.39853286743164","4q16jznt","9103.5625","svhn_vs_cifar10_test_vermiparousness"
"7","2.005730628967285","4q16jznt","8450.51171875","svhn_vs_cifar10_test_vermiparousness"
"7","-4.848541736602783","4q16jznt","8411.1669921875","svhn_vs_cifar10_test_vermiparousness"
"7","33.11086654663086","4q16jznt","6986.4609375","svhn_vs_cifar10_test_vermiparousness"
"7","3.7750792503356934","4q16jznt","9483.48046875","svhn_vs_cifar10_test_vermiparousness"
"7","15.09977912902832","4q16jznt","7361.66943359375","svhn_vs_cifar10_test_vermiparousness"
"7","-6.826937198638916","4q16jznt","8651.38671875","svhn_vs_cifar10_test_vermiparousness"
"7","-14.318646430969238","4q16jznt","8851.822265625","svhn_vs_cifar10_test_vermiparousness"
"7","3.1948511600494385","4q16jznt","6403.4033203125","svhn_vs_cifar10_test_vermiparousness"
"7","-7.575888633728027","4q16jznt","8945.228515625","svhn_vs_cifar10_test_vermiparousness"
"7","-164.74212646484375","4q16jznt","5077.068359375","svhn_vs_cifar10_test_vermiparousness"
"7","5.407055854797363","4q16jznt","7531.125","svhn_vs_cifar10_test_vermiparousness"
"7","-73.57820129394531","4q16jznt","7171.419921875","svhn_vs_cifar10_test_vermiparousness"
"7","-14.715232849121094","4q16jznt","10526.66796875","svhn_vs_cifar10_test_vermiparousness"
"7","19.3980712890625","4q16jznt","7661.62646484375","svhn_vs_cifar10_test_vermiparousness"
"6","-19.899293899536133","3jjumhyv","12370.166015625","svhn_vs_svhn_test_patenting"
"6","-38.75157928466797","3jjumhyv","12534.85546875","svhn_vs_svhn_test_patenting"
"6","-29.001850128173828","3jjumhyv","12113.8564453125","svhn_vs_svhn_test_patenting"
"6","-10.325422286987305","3jjumhyv","12219.802734375","svhn_vs_svhn_test_patenting"
"6","-92.6200942993164","3jjumhyv","13783.357421875","svhn_vs_svhn_test_patenting"
"6","-87.98114776611328","3jjumhyv","13555.9921875","svhn_vs_svhn_test_patenting"
"6","-26.327529907226562","3jjumhyv","12415.2724609375","svhn_vs_svhn_test_patenting"
"6","-26.17849349975586","3jjumhyv","12744.86328125","svhn_vs_svhn_test_patenting"
"6","-57.837093353271484","3jjumhyv","12851.58203125","svhn_vs_svhn_test_patenting"
"6","-23.348403930664062","3jjumhyv","12246.6640625","svhn_vs_svhn_test_patenting"
"6","-41.31119155883789","3jjumhyv","12365.7421875","svhn_vs_svhn_test_patenting"
"6","-35.612648010253906","3jjumhyv","12900.7666015625","svhn_vs_svhn_test_patenting"
"6","-40.11767578125","3jjumhyv","13059.49609375","svhn_vs_svhn_test_patenting"
"6","-107.32122039794922","3jjumhyv","13740.02734375","svhn_vs_svhn_test_patenting"
"6","-61.010292053222656","3jjumhyv","13226.0283203125","svhn_vs_svhn_test_patenting"
"6","-81.68608856201172","3jjumhyv","13213.5478515625","svhn_vs_svhn_test_patenting"
"6","-39.90620422363281","3jjumhyv","12700.4296875","svhn_vs_svhn_test_patenting"
"6","-34.6291618347168","3jjumhyv","12373.95703125","svhn_vs_svhn_test_patenting"
"6","-8.954656600952148","3jjumhyv","10885.1806640625","svhn_vs_svhn_test_patenting"
"6","-14.637704849243164","3jjumhyv","10857.818359375","svhn_vs_svhn_test_patenting"
"6","-52.19694137573242","3jjumhyv","12885.4228515625","svhn_vs_svhn_test_patenting"
"6","-56.844444274902344","3jjumhyv","12920.474609375","svhn_vs_svhn_test_patenting"
"6","-42.87995910644531","3jjumhyv","12848.962890625","svhn_vs_svhn_test_patenting"
"6","-57.70882797241211","3jjumhyv","12895.287109375","svhn_vs_svhn_test_patenting"
"6","-24.419628143310547","3jjumhyv","12046.4541015625","svhn_vs_svhn_test_patenting"
