"_defaultColorIndex","id","intrinsic-dimension","log-likelihood","name"
"3","f4nahr42","489.7373046875","6414.8330078125","svhn_vs_cifar10_test_cages"
"3","f4nahr42","321.51513671875","8932.81640625","svhn_vs_cifar10_test_cages"
"3","f4nahr42","727.619140625","5080.1845703125","svhn_vs_cifar10_test_cages"
"3","f4nahr42","434.67431640625","7527.83056640625","svhn_vs_cifar10_test_cages"
"3","f4nahr42","408.03564453125","7255.55859375","svhn_vs_cifar10_test_cages"
"3","f4nahr42","185.632568359375","10533.0361328125","svhn_vs_cifar10_test_cages"
"3","f4nahr42","344.56298828125","7668.2626953125","svhn_vs_cifar10_test_cages"
"2","gm9zq3sv","372.848876953125","8544.791015625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","241.538330078125","10184.103515625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","271.116943359375","9845.310546875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","299.70654296875","8799.111328125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","416.7314453125","7204.39599609375","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","306.21875","8898.9091796875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","351.78076171875","8426.353515625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","235.357421875","9868.3671875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","271.61669921875","9664.4296875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","383.306884765625","8233.2216796875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","158.754150390625","11298.564453125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","392.291015625","8219.310546875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","320.851318359375","9038.998046875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","340.275146484375","9713.6328125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","459.9345703125","7138.40625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","392.877197265625","8048.6845703125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","358.126953125","8529.9521484375","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","351.7294921875","8504.744140625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","261.427001953125","9986.5390625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","486.688720703125","6404.11328125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","309.99072265625","9293.236328125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","89.286865234375","12999.7890625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","183.39453125","10150.943359375","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","498.887939453125","7061.3935546875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","340.279052734375","8098.4384765625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","387.433837890625","7240.4287109375","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","263.605224609375","9728.6796875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","276.843505859375","9673.9150390625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","424.10986328125","8576.6953125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","464.863525390625","6067.88134765625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","308.631103515625","8726.173828125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","195.59814453125","10409.33203125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","452.017333984375","6242.90673828125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","274.857177734375","9520.2744140625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","224.0478515625","10596.408203125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","332.477294921875","9469.974609375","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","329.819091796875","8507.587890625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","340.113037109375","11241.5986328125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","461.342041015625","7420.162109375","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","301.223388671875","9060.931640625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","307.739990234375","9411.779296875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","352.69384765625","7863.6357421875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","384.732177734375","8562.51953125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","263.906005859375","9977.40234375","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","299.37890625","8588.52734375","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","331.60888671875","9230.7900390625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","239.772705078125","10006.751953125","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","434.033935546875","7380.43701171875","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","314.61083984375","8303.40625","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","237.58544921875","9940.7724609375","cifar10_vs_cifar10_test_megger"
"2","gm9zq3sv","312.067138671875","8821.8671875","cifar10_vs_cifar10_test_megger"
