"JEM Vol","_defaultColorIndex","density","id","name"
"60794.8203125","3","0","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"67193.7578125","3","0.004201680985475737","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"73592.6953125","3","0","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"79991.6328125","3","0.0021008404927378684","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"86390.5703125","3","0.0021008404927378684","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"92789.5078125","3","0","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"99188.4453125","3","0","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"105587.3828125","3","0","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"111986.328125","3","0","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"118385.265625","3","0","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"124784.203125","3","0","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"131183.140625","3","0","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"137582.078125","3","0","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"143981.015625","3","0","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"150379.953125","3","0.004201680985475737","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"156778.890625","3","0.004201680985475737","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"163177.828125","3","0","io83soaz","svhn_vs_celeba-small_test_antenniferous"
"-2634.196533203125","2","0","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"2637.624267578125","2","0.8896484388679637","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"7909.4453125","2","0.00585937500900964","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"13181.265625","2","0.009765625919517986","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"18453.0859375","2","0.007812500735614389","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"23724.90625","2","0.01171874676181358","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"28996.728515625","2","0.007812500735614389","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"34268.55078125","2","0.006835935611057922","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"39540.37109375","2","0.008789063327566187","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"44812.19140625","2","0.008789063327566187","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"50084.01171875","2","0.009765625919517986","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"55355.83203125","2","0.007812500735614389","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"60627.65234375","2","0.004882812959758993","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"65899.46875","2","0.008789063327566187","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"71171.296875","2","0.001953125183903597","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"76443.109375","2","0.001953125183903597","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"81714.9375","2","0.0009765625919517986","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"86986.75","2","0.0009765625919517986","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"92258.578125","2","0.0029296834342522164","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"97530.40625","2","0.0009765625919517986","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"102802.21875","2","0.0009765625919517986","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"108074.046875","2","0","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"113345.859375","2","0","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"118617.6875","2","0","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"123889.5","2","0","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"129161.328125","2","0.0009765625919517986","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"134433.15625","2","0","34rupdmn","cifar10_vs_cifar10_test_semihumbug"
"-1479.77734375","1","0","2nevxyke","cifar10_vs_svhn_test_lipomata"
"1492.64453125","1","0.9648437503095555","2nevxyke","cifar10_vs_svhn_test_lipomata"
"4465.06640625","1","0","2nevxyke","cifar10_vs_svhn_test_lipomata"
"7437.48828125","1","0","2nevxyke","cifar10_vs_svhn_test_lipomata"
"10409.91015625","1","0","2nevxyke","cifar10_vs_svhn_test_lipomata"
"13382.3330078125","1","0.0019531250006266303","2nevxyke","cifar10_vs_svhn_test_lipomata"
"16354.75390625","1","0.002929688463462767","2nevxyke","cifar10_vs_svhn_test_lipomata"
"19327.17578125","1","0.0019531237172641335","2nevxyke","cifar10_vs_svhn_test_lipomata"
"22299.599609375","1","0.0009765625003133151","2nevxyke","cifar10_vs_svhn_test_lipomata"
"25272.021484375","1","0","2nevxyke","cifar10_vs_svhn_test_lipomata"
"28244.443359375","1","0.0029296875009399456","2nevxyke","cifar10_vs_svhn_test_lipomata"
"31216.865234375","1","0.0039062500012532605","2nevxyke","cifar10_vs_svhn_test_lipomata"
"34189.28515625","1","0.0039062525679816286","2nevxyke","cifar10_vs_svhn_test_lipomata"
"37161.7109375","1","0.0019531224339033228","2nevxyke","cifar10_vs_svhn_test_lipomata"
"40134.1328125","1","0.0009765625003133151","2nevxyke","cifar10_vs_svhn_test_lipomata"
