"_defaultColorIndex","id","lineKey","lineVal","name","step"
"7","l9fchrn4","convolution-mean","3680.84286904335","emnist_vs_emnist_test_dermatophone","-9.705882352941176"
"7","l9fchrn4","convolution-mean","3674.868046760559","emnist_vs_emnist_test_dermatophone","-9.495798319327731"
"7","l9fchrn4","convolution-mean","3668.9084210395813","emnist_vs_emnist_test_dermatophone","-9.285714285714285"
"7","l9fchrn4","convolution-mean","3662.89555811882","emnist_vs_emnist_test_dermatophone","-9.07563025210084"
"7","l9fchrn4","convolution-mean","3656.7082159519196","emnist_vs_emnist_test_dermatophone","-8.865546218487395"
"7","l9fchrn4","convolution-mean","3650.149080514908","emnist_vs_emnist_test_dermatophone","-8.655462184873949"
"7","l9fchrn4","convolution-mean","3642.9153368473053","emnist_vs_emnist_test_dermatophone","-8.445378151260504"
"7","l9fchrn4","convolution-mean","3634.5613355636597","emnist_vs_emnist_test_dermatophone","-8.235294117647058"
"7","l9fchrn4","convolution-mean","3624.4573142528534","emnist_vs_emnist_test_dermatophone","-8.025210084033613"
"7","l9fchrn4","convolution-mean","3611.755204439163","emnist_vs_emnist_test_dermatophone","-7.815126050420169"
"7","l9fchrn4","convolution-mean","3595.3770565986633","emnist_vs_emnist_test_dermatophone","-7.605042016806722"
"7","l9fchrn4","convolution-mean","3574.0365014076233","emnist_vs_emnist_test_dermatophone","-7.394957983193278"
"7","l9fchrn4","convolution-mean","3546.300131559372","emnist_vs_emnist_test_dermatophone","-7.184873949579831"
"7","l9fchrn4","convolution-mean","3510.70019698143","emnist_vs_emnist_test_dermatophone","-6.974789915966387"
"7","l9fchrn4","convolution-mean","3465.908146381378","emnist_vs_emnist_test_dermatophone","-6.76470588235294"
"7","l9fchrn4","convolution-mean","3410.9453003406525","emnist_vs_emnist_test_dermatophone","-6.554621848739496"
"7","l9fchrn4","convolution-mean","3345.361892938614","emnist_vs_emnist_test_dermatophone","-6.344537815126051"
"7","l9fchrn4","convolution-mean","3269.3076977729797","emnist_vs_emnist_test_dermatophone","-6.134453781512605"
"7","l9fchrn4","convolution-mean","3183.4622642993927","emnist_vs_emnist_test_dermatophone","-5.92436974789916"
"7","l9fchrn4","convolution-mean","3088.860853433609","emnist_vs_emnist_test_dermatophone","-5.7142857142857135"
"7","l9fchrn4","convolution-mean","2986.687529563904","emnist_vs_emnist_test_dermatophone","-5.504201680672269"
"7","l9fchrn4","convolution-mean","2878.100343942642","emnist_vs_emnist_test_dermatophone","-5.2941176470588225"
"7","l9fchrn4","convolution-mean","2764.1209321022034","emnist_vs_emnist_test_dermatophone","-5.084033613445378"
"7","l9fchrn4","convolution-mean","2645.5878217220306","emnist_vs_emnist_test_dermatophone","-4.873949579831933"
"7","l9fchrn4","convolution-mean","2523.156562805176","emnist_vs_emnist_test_dermatophone","-4.663865546218487"
"7","l9fchrn4","convolution-mean","2397.325027346611","emnist_vs_emnist_test_dermatophone","-4.453781512605042"
"7","l9fchrn4","convolution-mean","2268.467457175255","emnist_vs_emnist_test_dermatophone","-4.243697478991596"
"7","l9fchrn4","convolution-mean","2136.8674088716507","emnist_vs_emnist_test_dermatophone","-4.033613445378151"
"7","l9fchrn4","convolution-mean","2002.7443490028381","emnist_vs_emnist_test_dermatophone","-3.8235294117647065"
"7","l9fchrn4","convolution-mean","1866.2733752727509","emnist_vs_emnist_test_dermatophone","-3.613445378151262"
"7","l9fchrn4","convolution-mean","1727.5985879898071","emnist_vs_emnist_test_dermatophone","-3.4033613445378137"
"7","l9fchrn4","convolution-mean","1586.8423091173172","emnist_vs_emnist_test_dermatophone","-3.193277310924369"
"7","l9fchrn4","convolution-mean","1444.1113095283508","emnist_vs_emnist_test_dermatophone","-2.9831932773109244"
"7","l9fchrn4","convolution-mean","1299.5016041994095","emnist_vs_emnist_test_dermatophone","-2.77310924369748"
"7","l9fchrn4","convolution-mean","1153.1027549505234","emnist_vs_emnist_test_dermatophone","-2.5630252100840316"
"7","l9fchrn4","convolution-mean","1005.0017583966255","emnist_vs_emnist_test_dermatophone","-2.352941176470587"
"7","l9fchrn4","convolution-mean","855.2864871621132","emnist_vs_emnist_test_dermatophone","-2.1428571428571423"
"7","l9fchrn4","convolution-mean","704.0482214093208","emnist_vs_emnist_test_dermatophone","-1.9327731092436977"
"7","l9fchrn4","convolution-mean","551.3830733299255","emnist_vs_emnist_test_dermatophone","-1.722689075630253"
"7","l9fchrn4","convolution-mean","397.39185416698456","emnist_vs_emnist_test_dermatophone","-1.512605042016805"
"7","l9fchrn4","convolution-mean","242.17928233742714","emnist_vs_emnist_test_dermatophone","-1.3025210084033603"
"7","l9fchrn4","convolution-mean","85.85168094187975","emnist_vs_emnist_test_dermatophone","-1.0924369747899156"
"7","l9fchrn4","convolution-mean","-71.48531802371144","emnist_vs_emnist_test_dermatophone","-0.882352941176471"
"7","l9fchrn4","convolution-mean","-229.7297988086939","emnist_vs_emnist_test_dermatophone","-0.6722689075630264"
"7","l9fchrn4","convolution-mean","-388.7860943377018","emnist_vs_emnist_test_dermatophone","-0.4621848739495782"
"7","l9fchrn4","convolution-mean","-548.5666898488998","emnist_vs_emnist_test_dermatophone","-0.25210084033613356"
"7","l9fchrn4","convolution-mean","-708.993320941925","emnist_vs_emnist_test_dermatophone","-0.042016806722688926"
"7","l9fchrn4","convolution-mean","-869.9970109462738","emnist_vs_emnist_test_dermatophone","0.1680672268907557"
"7","l9fchrn4","convolution-mean","-1031.5170355439186","emnist_vs_emnist_test_dermatophone","0.37815126050420034"
"7","l9fchrn4","convolution-mean","-1193.4995684623718","emnist_vs_emnist_test_dermatophone","0.5882352941176485"
"7","l9fchrn4","convolution-mean","-1355.8961715698242","emnist_vs_emnist_test_dermatophone","0.7983193277310932"
"7","l9fchrn4","convolution-mean","-1518.6623862981796","emnist_vs_emnist_test_dermatophone","1.0084033613445378"
"7","l9fchrn4","convolution-mean","-1681.7565970420837","emnist_vs_emnist_test_dermatophone","1.2184873949579824"
"7","l9fchrn4","convolution-mean","-1845.1392802000046","emnist_vs_emnist_test_dermatophone","1.4285714285714306"
"7","l9fchrn4","convolution-mean","-2008.772960305214","emnist_vs_emnist_test_dermatophone","1.6386554621848752"
"7","l9fchrn4","convolution-mean","-2172.6219062805176","emnist_vs_emnist_test_dermatophone","1.8487394957983199"
"7","l9fchrn4","convolution-mean","-2336.652459383011","emnist_vs_emnist_test_dermatophone","2.0588235294117645"
"7","l9fchrn4","convolution-mean","-2500.8335525989532","emnist_vs_emnist_test_dermatophone","2.268907563025209"
"7","l9fchrn4","convolution-mean","-2665.1370928287506","emnist_vs_emnist_test_dermatophone","2.4789915966386573"
"7","l9fchrn4","convolution-mean","-2829.5384542942047","emnist_vs_emnist_test_dermatophone","2.689075630252102"
"7","l9fchrn4","convolution-mean","-2994.0162165164948","emnist_vs_emnist_test_dermatophone","2.8991596638655466"
"7","l9fchrn4","convolution-mean","-3158.5530297756195","emnist_vs_emnist_test_dermatophone","3.109243697478991"
"7","l9fchrn4","convolution-mean","-3323.1346275806427","emnist_vs_emnist_test_dermatophone","3.319327731092436"
"7","l9fchrn4","convolution-mean","-3487.749866962433","emnist_vs_emnist_test_dermatophone","3.529411764705884"
"7","l9fchrn4","convolution-mean","-3652.3896431922913","emnist_vs_emnist_test_dermatophone","3.7394957983193287"
"7","l9fchrn4","convolution-mean","-3817.0478541851044","emnist_vs_emnist_test_dermatophone","3.9495798319327733"
"7","l9fchrn4","convolution-mean","-3981.719089746475","emnist_vs_emnist_test_dermatophone","4.159663865546218"
"7","l9fchrn4","convolution-mean","-4146.40026473999","emnist_vs_emnist_test_dermatophone","4.3697478991596626"
"7","l9fchrn4","convolution-mean","-4311.0877866744995","emnist_vs_emnist_test_dermatophone","4.579831932773111"
"7","l9fchrn4","convolution-mean","-4475.780369281769","emnist_vs_emnist_test_dermatophone","4.789915966386555"
"7","l9fchrn4","convolution-mean","-4640.476330280304","emnist_vs_emnist_test_dermatophone","5"
"7","l9fchrn4","convolution-std","3732.697569343325","emnist_vs_emnist_test_dermatophone","-20"
"7","l9fchrn4","convolution-std","3728.771253423706","emnist_vs_emnist_test_dermatophone","-19.789915966386555"
"7","l9fchrn4","convolution-std","3724.8086522507274","emnist_vs_emnist_test_dermatophone","-19.57983193277311"
"7","l9fchrn4","convolution-std","3720.811364266225","emnist_vs_emnist_test_dermatophone","-19.369747899159663"
"7","l9fchrn4","convolution-std","3716.7800569122915","emnist_vs_emnist_test_dermatophone","-19.159663865546218"
"7","l9fchrn4","convolution-std","3712.7150421547453","emnist_vs_emnist_test_dermatophone","-18.949579831932773"
"7","l9fchrn4","convolution-std","3708.616114885248","emnist_vs_emnist_test_dermatophone","-18.73949579831933"
"7","l9fchrn4","convolution-std","3704.482807790952","emnist_vs_emnist_test_dermatophone","-18.529411764705884"
"7","l9fchrn4","convolution-std","3700.314476247446","emnist_vs_emnist_test_dermatophone","-18.319327731092436"
"7","l9fchrn4","convolution-std","3696.110453281284","emnist_vs_emnist_test_dermatophone","-18.10924369747899"
"7","l9fchrn4","convolution-std","3691.8698274304306","emnist_vs_emnist_test_dermatophone","-17.899159663865547"
"7","l9fchrn4","convolution-std","3687.5917591492134","emnist_vs_emnist_test_dermatophone","-17.689075630252102"
"7","l9fchrn4","convolution-std","3683.2752496204694","emnist_vs_emnist_test_dermatophone","-17.478991596638657"
"7","l9fchrn4","convolution-std","3678.9193067144074","emnist_vs_emnist_test_dermatophone","-17.26890756302521"
"7","l9fchrn4","convolution-std","3674.5230236905145","emnist_vs_emnist_test_dermatophone","-17.058823529411764"
"7","l9fchrn4","convolution-std","3670.0852573217253","emnist_vs_emnist_test_dermatophone","-16.84873949579832"
"7","l9fchrn4","convolution-std","3665.6049741331844","emnist_vs_emnist_test_dermatophone","-16.638655462184875"
"7","l9fchrn4","convolution-std","3661.0811164754914","emnist_vs_emnist_test_dermatophone","-16.428571428571427"
"7","l9fchrn4","convolution-std","3656.5126472923066","emnist_vs_emnist_test_dermatophone","-16.218487394957982"
"7","l9fchrn4","convolution-std","3651.898425017738","emnist_vs_emnist_test_dermatophone","-16.008403361344538"
"7","l9fchrn4","convolution-std","3647.237327847242","emnist_vs_emnist_test_dermatophone","-15.798319327731093"
"7","l9fchrn4","convolution-std","3642.528308321601","emnist_vs_emnist_test_dermatophone","-15.588235294117647"
